,   Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65810,West Tamar (M),2015,3829,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65810,West Tamar (M),2016,3720,100,3,79,7444,46,59,62,218,8005,83,477,93,1198,9856,2241,183,6200,8625,2.4,2054,442,2884,568,269,63,6277,2.9,8748,1732,6029,53.6,27.4,6,9.8,3.1,82.6,15,1055,1444,65.7,18.5,7.3,0.8,11.9,23.5,1.9,136,6920,1142,8185,184,133,80,41.6,36.4,19,94.5,5.5,93.1,6.9,18.0,10.8,13.4,8.1,7,7,7,7,9,9,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70200,Alice Springs (T),2011,5424,105,6,375,9050,207,599,175,833,11339,179,328,198,1150,13194,2145,543,5718,8399,2.6,2302,349,2118,769,261,122,5915,3.1,6422,2669,7257,40.2,43.7,3.4,9.2,3.5,-,-,1235,2039,59.9,19.3,6.9,1.4,7.8,21.9,1.9,-,-,-,5382,1196,1367,420,15.7,37.2,41.9,90.7,9.3,90.6,9.4,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70200,Alice Springs (T),2012,5085,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70200,Alice Springs (T),2013,5485,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70200,Alice Springs (T),2014,5626,105,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70200,Alice Springs (T),2015,6137,101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70200,Alice Springs (T),2016,6111,100,5,315,8938,193,628,173,704,11042,159,287,137,983,12608,2156,441,5468,8059,2.6,2195,336,2079,703,236,104,5640,3,6375,2421,6664,42.3,42.2,3.6,8.3,3.7,80.3,15.8,1417,2062,59.4,19.1,6.1,1.2,8.4,22.2,1.9,455,5055,1879,5042,2130,307,512,16.5,35.4,43.6,94.3,5.7,90.5,9.5,7.1,3.6,5.4,3.4,8,9,9,5,7,8,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70420,Barkly (R),2011,508,100,-,12,930,12,50,35,634,1686,15,74,87,120,1982,353,61,1118,1529,3.5,556,63,408,274,69,46,1413,3.5,1568,448,2072,46.2,39.3,4.7,6.3,3.6,-,-,409,958,49.7,20,11.9,1.7,10,10.9,2.3,-,-,-,1195,67,112,136,9.5,11.8,68.4,98.6,1.4,94.2,5.8,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70420,Barkly (R),2012,494,115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70420,Barkly (R),2013,502,148,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70420,Barkly (R),2014,471,110,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70420,Barkly (R),2015,477,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70420,Barkly (R),2016,510,110,-,24,921,16,53,44,560,1624,13,88,48,124,1897,408,57,1094,1562,3.4,552,71,386,241,76,43,1360,3.5,1343,612,1987,41.4,44.8,4.1,5.4,4.5,58.5,35.8,541,1155,47.1,18.3,13.6,6.2,14.6,17.1,2.2,373,710,364,1234,50,166,107,10.8,9.6,68.5,98.9,1.1,94.3,5.7,13.0,1.3,13.8,1.3,1,1,1,1,6,6,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70540,Belyuen (S),2011,-,-,-,-,16,-,-,-,24,42,4,-,3,-,49,7,-,30,37,4.2,13,-,-,12,10,6,41,3.7,22,7,84,42.3,39.2,6.9,8.5,2.3,-,-,258,-,46.9,10.8,27.7,-,13.8,3.8,2,-,-,-,23,-,6,-,-,-,89.5,100,-,100,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70540,Belyuen (S),2012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70540,Belyuen (S),2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70540,Belyuen (S),2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70540,Belyuen (S),2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70540,Belyuen (S),2016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,32,38,3.8,11,-,-,12,-,-,36,3.7,16,20,79,17.6,80.2,4.6,2.3,-,7.9,71.1,288,-,55.7,10.7,26.7,6.1,11.5,12.2,2.1,9,10,10,30,5,-,-,-,-,89.7,100,-,100,-,27.3,3.3,28.4,16.5,1,1,1,1,1,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70620,Central Desert (R),2011,-,-,-,95,248,-,3,52,415,825,43,38,31,41,978,98,14,558,665,4.3,352,34,176,148,43,20,770,3.6,1019,104,964,55.7,33.1,4.4,3.8,3.3,-,-,164,-,44.9,20.1,16.2,5.4,16.2,8.8,2.2,-,-,-,612,-,21,26,3.3,1,86.4,100,-,99.2,0.8,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70620,Central Desert (R),2012,21,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70620,Central Desert (R),2013,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70620,Central Desert (R),2014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70620,Central Desert (R),2015,20,213,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70620,Central Desert (R),2016,60,150,-,21,262,3,3,26,383,693,27,29,17,26,792,110,11,583,697,4.2,337,34,205,137,46,23,799,3.6,1029,133,978,54.1,30.7,5.4,3.7,6,32.7,63.3,223,375,40,24.7,17.9,6.6,14.2,8.4,2.2,273,259,143,610,40,21,15,3.9,0.7,89.3,100,-,98.4,1.6,25.2,-,26.6,-,1,1,1,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70700,Coomalie (S),2011,177,100,-,3,235,4,14,18,65,339,5,31,11,58,444,145,15,235,400,2.2,56,17,112,41,6,8,245,2.8,228,125,325,34.5,41.3,2.6,15.8,5.8,-,-,814,1612,59.3,14.9,4.7,0.6,7.1,19.5,1.8,-,-,-,352,-,8,32,35.4,24.1,33.9,93.4,6.6,95.3,4.7,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70700,Coomalie (S),2012,148,115,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70700,Coomalie (S),2013,162,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70700,Coomalie (S),2014,158,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70700,Coomalie (S),2015,165,185,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70700,Coomalie (S),2016,153,128,-,3,266,3,5,14,71,373,4,33,6,39,455,154,21,263,443,2.2,63,7,125,51,19,-,276,2.9,248,124,400,34.6,41.4,4,14.2,6.2,58.7,33.4,825,1799,56.6,12,5.8,0.8,9,18.5,2,38,239,119,351,15,15,51,33.4,25.7,33,94.9,5.1,92.4,7.6,29.3,10.4,41.0,26.3,1,2,4,2,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71000,Darwin (C),2011,18414,85,18,1441,26849,670,1347,640,2101,33264,593,941,566,3422,38786,5631,1918,16699,24248,2.6,6243,1207,6729,1860,862,329,17228,3,20097,7078,21053,41.5,43.1,3.1,9.1,3.2,-,-,1563,2264,62,17.4,6,0.9,7.2,17.9,1.8,-,-,-,13260,3826,6478,601,18.9,31.7,45.5,92.2,7.8,88.5,11.5,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71000,Darwin (C),2012,17079,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71000,Darwin (C),2013,17828,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71000,Darwin (C),2014,18743,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71000,Darwin (C),2015,20169,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71000,Darwin (C),2016,20198,101,31,2225,29436,714,1279,569,2077,36468,1006,993,486,3128,42081,5933,1850,18119,25905,2.6,7166,1139,7470,1700,890,333,18703,3,22520,7927,22359,43.9,41.8,3,8.3,3.1,85,11.4,1867,2336,62.8,18.6,5.5,0.7,7.9,18.7,1.8,1590,16440,5894,13616,3458,8234,436,18,29.9,48.1,94.7,5.3,89.2,10.8,9.7,7.1,11.3,8.6,9,9,9,8,10,10,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71300,East Arnhem (R),2011,64,162,-,58,599,5,12,25,1141,1853,12,38,126,50,2079,134,20,1048,1203,5.3,793,90,267,456,144,24,1786,3.9,2124,175,3396,49.9,39.4,6,2.5,2.2,-,-,253,75,39.1,17.5,29.6,9,27,15.5,2.4,-,-,-,1151,-,40,11,1,0.3,93.8,100,-,98.9,1.1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71300,East Arnhem (R),2012,59,285,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71300,East Arnhem (R),2013,63,255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71300,East Arnhem (R),2014,64,592,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71300,East Arnhem (R),2015,76,288,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71300,East Arnhem (R),2016,64,180,-,42,499,4,15,13,759,1341,14,15,68,42,1480,131,12,1168,1311,5.2,803,86,330,493,160,68,1942,3.8,2220,219,3507,48,40.5,6.4,2.9,2.3,52.4,42,333,-,37,17.5,25.6,9,21.9,16.6,2.4,742,314,208,1129,166,-,14,2.1,0.2,92.5,100,-,96.9,3.1,30.3,-,46.5,-,1,1,1,1,3,3,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72200,Katherine (T),2011,1440,90,-,29,2996,66,167,62,334,3687,48,130,86,348,4299,648,110,2034,2788,2.8,864,92,770,291,69,26,2115,3.1,2291,993,2095,42.4,42.3,3,8.7,3.6,-,-,868,1816,58.8,21.2,6.4,1.1,6.7,18.8,2,-,-,-,2060,246,261,211,14.5,26.5,51.2,94.9,5.1,93.9,6.1,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72200,Katherine (T),2012,1364,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72200,Katherine (T),2013,1399,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72200,Katherine (T),2014,1413,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72200,Katherine (T),2015,1415,120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72200,Katherine (T),2016,1443,110,-,11,3010,42,136,67,274,3583,36,153,40,308,4120,626,100,1891,2616,2.8,808,124,713,231,60,24,1970,3.1,2171,964,2057,42.7,42.6,3,8,3.7,74.9,20.2,1167,1844,52.3,18.1,5.3,0.8,6.5,17.1,2,207,1551,604,1976,187,181,137,15.9,26.8,52.3,96,4,91.4,8.6,8.5,3.5,8.5,3.5,7,8,9,3,7,7,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72300,Litchfield (M),2011,3180,66,8,153,6754,131,124,143,627,8113,144,489,148,968,9862,1047,186,4346,5579,2.8,1814,353,1738,410,165,48,4535,3.1,5324,2069,4115,43.9,41.2,2,9.5,3.4,-,-,1322,2341,58.4,19.7,6.4,1,7.5,16.8,1.9,-,-,-,4798,214,91,466,28.4,50.1,18.2,86,14,95.4,4.6,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72300,Litchfield (M),2012,3056,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72300,Litchfield (M),2013,3402,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72300,Litchfield (M),2014,3709,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72300,Litchfield (M),2015,4148,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72300,Litchfield (M),2016,4268,100,3,961,7888,105,71,147,459,9791,346,491,169,949,11746,1103,234,4863,6201,2.9,2011,423,2017,419,196,53,5113,3.1,5861,2735,4770,43.7,42.3,2.1,8.5,3.4,83.2,13.4,1690,2515,53.5,17.7,5.3,0.6,7.2,15.5,1.9,473,3745,1498,5540,69,138,379,26.5,49.4,20,88.2,11.8,95.9,4.1,24.1,24.3,18.8,17.0,9,9,7,10,9,9,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72330,MacDonnell (R),2011,66,108,-,11,491,5,3,21,658,1205,21,49,62,60,1397,210,18,772,1007,4,438,41,269,244,73,33,1088,3.5,1212,283,1627,48.4,37.5,5.6,3,5.3,-,-,256,308,41.9,18,11.3,3,11.4,7.5,2.1,-,-,-,882,-,51,66,5,0.8,83.8,100,-,97.5,2.5,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72330,MacDonnell (R),2012,61,145,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72330,MacDonnell (R),2013,64,150,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72330,MacDonnell (R),2014,62,249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72330,MacDonnell (R),2015,71,113,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72330,MacDonnell (R),2016,51,100,-,23,375,3,11,17,567,1000,11,39,34,60,1144,201,17,782,997,3.8,366,47,285,207,89,51,1058,3.4,1072,325,1573,46.4,41.5,5,3.2,3.9,41.2,51.7,298,1058,32,14.5,15.6,5,14.2,8.4,2,340,348,235,855,53,27,47,5.7,-,83.5,100,-,95.1,4.9,45.5,-,34.1,22.2,1,1,1,1,3,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72800,Palmerston (C),2011,6992,60,4,458,10689,210,188,181,331,12160,215,253,215,1405,14248,1544,448,6820,8817,2.9,3136,356,2163,1002,264,92,7000,3.2,7393,3344,6730,42.3,43.2,2.3,8.6,3.6,-,-,1471,2306,55.4,25.7,6.5,1.6,7.3,14.6,1.9,-,-,-,6802,947,1013,41,8.4,42.2,46.9,88.2,11.8,88.4,11.6,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72800,Palmerston (C),2012,6725,70,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72800,Palmerston (C),2013,7290,90,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72800,Palmerston (C),2014,7805,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72800,Palmerston (C),2015,8537,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,
