"Taxation statistics 2015–16 Companies: Selected items, for income years 1980–81 to 2015–161,2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-882,1988-892,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Total assets,$,na,na,na,na,na,na,na,na,na,"1,298,677,298,508","1,523,969,135,514","1,642,352,272,841","1,701,150,972,954","1,756,521,236,724","1,902,481,415,444","2,147,775,196,570","2,484,121,228,003","2,742,546,341,376","2,856,514,199,304","3,416,816,423,806","4,059,615,278,916","4,323,233,125,481","4,417,624,359,187","4,112,745,163,485","3,901,618,647,641","4,689,194,334,264","6,464,081,690,395","6,223,838,493,884","6,490,755,910,567","6,722,610,792,620","6,963,065,649,047","7,093,023,585,766","7,072,318,319,542","8,966,565,563,386","8,912,201,911,604","8,786,605,831,269"
Trade creditors,no.,na,na,na,na,na,na,na,na,na,"218,845","199,410","195,890","198,200","215,750","229,355","234,670","240,205","248,895","254,985","268,785","275,895","256,820","248,140","242,495","240,410","237,350","237,465","234,795","230,120","229,575","231,645","234,988","239,560","243,369","244,490","233,981"
Trade creditors,$,na,na,na,na,na,na,na,na,na,"243,268,604,708","107,065,839,540","171,616,879,727","117,866,759,792","113,596,862,074","130,864,383,928","124,394,600,137","125,415,133,840","107,045,025,276","161,465,457,108","157,212,843,425","290,450,122,580","139,459,586,012","115,432,835,911","122,035,134,133","131,049,442,277","150,395,976,070","159,417,079,294","181,878,868,633","203,607,921,945","179,433,588,076","193,395,587,064","207,084,421,108","200,198,785,525","223,625,834,134","223,440,408,372","218,196,913,263"
All current liabilities,no.,na,na,na,na,na,na,na,na,na,"322,015","329,300","329,820","341,000","383,770","416,130","428,515","444,820","465,535","483,545","505,420","531,975","545,850","554,210","559,150","570,710","577,330","586,560","591,180","585,285","592,735","607,090","626,439","641,513","659,244","672,504","652,873"
All current liabilities,$,na,na,na,na,na,na,na,na,na,"450,941,017,960","579,089,276,574","512,724,955,604","540,700,630,109","534,008,672,561","641,713,641,044","682,005,181,922","765,461,150,419","760,765,070,056","745,620,300,606","1,047,649,799,175","1,551,910,249,848","1,673,248,330,940","1,363,485,226,015","1,112,409,453,050","1,286,683,103,824","1,613,463,828,680","1,831,916,082,104","2,107,169,016,803","2,311,053,665,616","2,134,436,550,585","2,345,831,516,691","2,375,142,634,400","2,437,301,593,952","2,642,847,606,212","3,334,203,108,904","2,877,364,525,727"
Total liabilities,no.,na,na,na,na,na,na,na,na,na,"345,345","353,135","356,380","370,155","412,115","446,425","462,250","482,685","509,170","526,345","547,220","569,500","586,135","595,270","600,770","613,630","621,875","632,520","638,410","633,880","643,130","658,235","678,826","695,261","715,489","730,248","709,590"
Total liabilities,$,na,na,na,na,na,na,na,na,na,"936,130,185,184","1,273,514,642,004","1,206,401,180,296","1,231,072,492,514","1,221,705,796,186","1,329,860,727,423","1,526,206,361,285","1,802,051,758,042","2,001,457,737,145","2,062,219,053,886","2,485,519,934,448","3,081,076,390,407","3,215,762,334,940","3,319,024,513,850","3,080,534,578,254","2,875,058,772,041","3,640,173,408,708","5,073,367,627,635","5,023,151,932,458","5,090,877,281,885","4,991,210,193,301","5,047,050,043,350","5,347,616,327,626","5,061,183,953,578","5,292,278,179,859","6,769,305,711,419","6,741,963,484,979"
Total debt,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"143,070","153,245","155,110","156,260","155,135","154,255","153,060","151,455","148,075","148,330","147,750","148,905","163,261","164,375","163,198","154,640"
Total debt,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,110,563,767,684","1,139,411,542,670","950,457,679,524","965,145,679,505","1,309,306,836,675","1,576,939,950,192","2,312,137,738,040","1,648,795,134,410","1,796,446,322,610","1,726,908,590,066","2,350,987,599,227","1,934,544,305,746","2,059,839,487,367","2,603,083,158,649","2,621,116,714,917","2,762,952,861,841"
Commercial debt forgiveness,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,380","1,445","1,295","1,200",995,930,985,910,"1,105","1,100","1,105","1,201","1,525","1,491","1,467","1,345"
Commercial debt forgiveness,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"4,246,775,435","5,308,421,520","3,442,522,047","4,479,183,594","1,150,764,160","1,154,787,803","1,145,480,112","1,245,470,104","2,905,841,461","2,315,691,579","2,756,580,982","3,094,542,067","5,383,353,715","4,143,305,576","5,621,951,463","2,886,006,281"
Shareholders' funds,no.,na,na,na,na,na,na,na,na,na,"365,310","374,700","378,500","391,415","436,835","474,185","492,030","515,880","543,910","561,190","582,950","604,980","623,445","632,290","636,970","650,750","662,950","675,995","683,245","680,105","691,450","704,865","724,553",na,na,na,na
Shareholders' funds,$,na,na,na,na,na,na,na,na,na,"328,859,388,595","372,341,105,484","441,565,220,285","479,729,764,530","554,052,690,959","582,428,065,253","631,496,886,500","682,011,642,713","741,088,605,109","794,295,101,078","931,293,014,616","972,799,094,629","1,107,470,790,541","1,098,599,845,337","1,032,210,544,205","1,026,559,899,119","1,049,020,925,402","1,390,714,062,528","1,200,686,561,359","1,399,878,628,733","941,170,277,628","1,916,013,962,261","1,745,407,258,089",na,na,na,na
Franked dividends paid,no.,na,na,na,na,na,na,na,na,na,"35,050","36,565","37,045","37,105","42,950","60,390","64,730","68,015","74,975","77,360","78,205","87,865","87,220","94,725","98,705","105,780","113,545","124,205","130,930","140,150","142,790","148,465","152,909","159,815","162,992","165,509","167,575"
Franked dividends paid,$,na,na,na,na,na,na,na,na,na,"15,193,952,518","18,432,663,815","18,953,248,427","20,164,786,336","20,636,993,274","30,770,427,883","34,005,957,950","40,292,166,331","34,418,921,697","40,057,914,160","44,465,680,258","54,025,308,586","62,372,861,687","57,311,493,149","52,941,341,854","62,633,298,565","72,454,627,087","80,365,042,150","84,534,451,174","93,787,620,576","83,045,234,214","103,099,474,436","116,719,890,309","102,101,784,426","125,141,003,445","111,548,897,454","130,408,452,362"
Unfranked dividends paid,no.,na,na,na,na,na,na,na,na,na,"3,810","3,435","3,205","3,255","3,360","4,055","4,085","4,705","5,265","5,405","5,875","5,860","5,260","5,590","5,020","5,060","5,355","6,105","6,945","7,300","7,890","8,660","8,673","8,996","9,102","9,264","9,032"
Unfranked dividends paid,$,na,na,na,na,na,na,na,na,na,"6,828,216,503","8,951,493,685","7,095,215,165","7,558,253,648","7,102,109,230","8,337,629,864","12,490,334,378","20,553,192,511","16,709,727,034","56,919,320,498","37,898,938,030","29,997,735,011","22,262,973,796","19,098,183,251","6,615,231,642","7,486,178,483","7,823,156,512","10,251,121,053","8,975,524,391","8,750,142,408","9,250,627,231","22,429,530,969","11,239,236,730","11,955,537,719","12,140,539,140","14,667,532,456","14,463,855,596"
Franking account balance,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"187,760","212,220","224,085","244,965","256,145","266,715","280,800","289,450","299,135","307,225","321,005","328,485","339,155","345,355","350,340","356,985","365,644","378,085","405,665","414,051","413,585"
Franking account balance,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"62,464,417,642","73,742,063,252","83,093,962,172","91,384,114,754","109,319,150,623","139,825,933,150","185,994,250,914","100,118,893,587","108,108,909,226","120,785,640,859","135,127,268,330","153,921,868,636","179,509,795,063","201,380,531,173","217,691,212,752","228,795,702,114","251,971,425,419","277,368,925,657","301,253,571,046","322,159,158,068","331,685,617,844"
Excess franking offsets,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"4,630","8,860","9,180","7,660","8,165","9,025","10,310","10,135","9,390","9,806","9,495","9,308","9,634","10,440"
Excess franking offsets,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"229,349,181","179,149,356","166,452,626","160,384,556","224,436,508","457,865,911","656,722,253","536,515,463","389,620,532","442,701,290","496,399,467","488,189,552","556,703,361","638,318,770"
Loans to shareholders and their associates,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"59,790","108,435","139,460","157,895","165,730","172,240","181,975","189,430","184,915","177,650","92,725","69,645","64,740","61,385","59,790","59,995","61,305","64,267","70,968","75,540","79,357","78,629"
Loans to shareholders and their associates,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"17,396,890,604","17,550,757,368","21,064,674,867","19,159,939,114","20,598,281,193","23,590,433,180","31,247,652,464","32,633,039,435","30,976,437,887","32,483,589,030","22,476,999,065","20,112,984,524","43,144,849,473","30,650,887,427","28,028,607,914","37,954,145,232","35,884,113,825","41,932,160,386","52,022,824,109","52,549,856,627","56,381,169,078","57,057,319,601"
Total salary and wage expenses,no.,na,"138,600","131,810","136,880","155,640","161,070","156,310","70,560","92,205","203,330","211,675","215,260","229,930","251,310","273,820","286,595","288,895","307,525","319,965","330,325","335,385","332,995","336,300","335,200","338,005","323,450","327,160","328,780","325,700","331,380","338,990","351,032","365,472","380,629","390,856","384,573"
Total salary and wage expenses,$,na,"30,052,938,000","30,735,989,000","34,549,714,000","39,584,552,000","45,078,266,000","48,144,238,000","34,819,000,000","40,000,000,000","65,616,323,778","82,353,157,850","78,997,380,679","80,344,249,814","87,874,040,597","96,431,497,428","103,991,064,955","109,163,044,506","119,266,396,191","126,245,223,069","140,634,886,522","148,953,490,590","160,938,137,384","171,502,526,589","181,760,472,812","196,516,413,884","210,880,589,388","228,406,721,802","249,844,292,828","265,580,667,401","271,783,501,321","294,800,326,092","321,223,209,556","346,681,614,230","357,531,248,356","371,489,688,209","376,086,917,882"
Payments to associated persons,no.,na,na,"101,880","105,960","117,235","124,580","121,440","56,755","75,530","131,475","140,280","145,595","143,495","171,070","188,730","197,160","203,880","217,275","222,210","183,705","176,345","193,665","198,235","200,690","202,735","197,495","200,655","202,005","202,250","209,190","217,200","227,530","237,564","247,283","252,793","247,337"
Payments to associated persons,$,"2,377,710,000",na,"2,807,992,000","3,119,968,000","3,738,162,000","4,556,585,000","5,237,340,000","3,420,000,000","4,457,000,000","23,129,107,022","12,756,215,533","12,199,832,154","9,331,787,205","12,192,092,228","16,393,411,560","13,023,487,854","13,695,069,819","15,905,406,991","14,063,342,062","15,558,093,548","24,140,541,009","52,923,007,574","14,393,304,675","14,984,379,091","15,985,641,873","17,888,676,415","18,662,880,272","25,712,423,128","19,662,972,621","20,318,638,770","21,608,202,006","25,105,910,208","26,508,938,910","25,076,450,994","25,875,187,142","26,320,837,297"
Gross foreign income,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"11,901","13,243","13,865","15,087","16,122"
Gross foreign income,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"10,256,539,226","14,073,281,033","17,646,102,271","21,589,171,628","25,537,232,345"
Net foreign income,no.,na,na,na,na,na,na,na,na,"1,990","3,645","3,520","3,765","4,305","5,195","5,275","6,050","6,475","6,965","7,580","8,020","9,655","11,165","12,610","13,720","15,595","17,035","17,375","16,725","14,810","13,675","13,430","11,947","12,826","13,428","14,620","15,728"
Net foreign income,$,na,na,na,na,na,na,na,na,"872,000,000","3,117,771,024","1,280,480,212","1,723,099,491","4,303,551,944","2,831,770,993","4,476,114,963","4,599,789,074","4,188,727,517","5,028,954,406","6,921,232,255","7,483,247,036","5,535,259,126","5,083,862,702","4,471,198,784","4,845,235,473","5,537,831,719","6,520,232,354","8,886,598,377","10,386,207,294","10,723,846,624","7,632,893,406","10,732,919,587","10,582,865,708","8,443,190,507","9,758,814,706","13,055,994,378","16,900,953,640"
Attributed foreign income - Listed country,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15,100,100,125,110,290,65,60,55,135,105,140,50,55,55,95,115,115,100,105
Attributed foreign income - Listed country,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"6,983,758","57,046,621","43,655,537","95,356,642","85,496,566","271,076,655","95,246,842","97,547,585","97,969,205","72,979,067","86,718,345","307,681,791","75,054,336","198,676,626","32,392,927","72,062,289","95,688,926","109,538,541","116,969,649","126,686,856"
Attributed foreign income - Section 404 country,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,115,170,165,185,205,170,135,100,130,150,195,200,195,220,184,188,184,168,na
Attributed foreign income - Section 404 country,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"151,812,418","204,157,962","388,730,756","269,239,500","246,570,172","310,142,567","427,929,962","174,221,328","265,205,229","492,967,497","998,157,674","975,770,746","688,503,058","1,225,611,052","995,823,078","861,350,986","949,180,776","1,063,090,076",na
Attributed foreign income - Unlisted country,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,75,85,110,120,120,150,135,750,255,130,95,95,110,120,140,160,140,165,196,238,249,264,364
Attributed foreign income - Unlisted country,$,na,na,na,na,na,na,na,na,na,na,na,na,na,"122,947,926","111,335,047","229,704,883","244,660,416","177,247,661","373,161,262","433,257,880","1,588,528,944","577,988,662","503,186,611","273,273,113","644,542,751","711,746,482","985,054,224","402,347,351","449,143,029","414,814,955","576,886,786","435,887,133","1,490,777,882","1,488,943,173","2,280,636,394","3,279,431,267"
Attributed foreign income - Transferor trust,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,20,25,15,35,55,185,30,5,5,5,5,5,5,5,5,10,2,4,5,5,5
Attributed foreign income - Transferor trust,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"223,031","94,954,576","1,861,661","1,460,805","3,434,514","446,646,945","143,504,329","1,285,421","1,789","3,511","4,158","184,641","980,807","368,516","1,159,979","16,153","128,662","412,660","9,245","66,222","39,851,292"
Section 128F/128FA exempt interest paid,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,60,80,70,75,85,100,95,100,105,100,110,100,105,110,105,115,113,na,na,na,na
Section 128F/128FA exempt interest paid,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,537,310,128","2,442,139,934","2,260,801,847","3,881,092,888","5,218,236,356","8,906,412,804","7,925,930,264","5,853,976,847","7,288,301,635","10,365,035,997","13,835,436,050","16,654,827,534","13,297,253,356","15,764,989,933","11,023,563,055","17,447,850,958","16,862,016,763",na,na,na,na
Total TOFA gains,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,580,"1,662","2,543","3,173","3,797","4,050"
Total TOFA gains,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"135,443,969,660","204,187,953,706","229,554,036,041","194,458,481,869","195,880,932,131","249,817,982,300"
Total TOFA losses,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,515,"1,466","2,299","2,860","3,372","3,604"
Total TOFA losses,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"103,737,478,053","161,841,154,510","189,597,974,108","153,462,075,245","149,402,678,331","209,307,536,719"
TOFA transitional balancing adjustment,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,10,100,179,170,180,90,na
TOFA transitional balancing adjustment,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,524,726,211","689,442,313","577,183,963","1,467,554,533","-145,580,599","-87,102,941",na
TOFA gains from unrealised movements in the value of financial arrangements,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,15,65,147,145,70,63,105
TOFA gains from unrealised movements in the value of financial arrangements,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"41,539,440","24,570,713,432","23,254,600,002","13,875,507,597","12,210,915,122","9,941,530,305","35,346,317,244"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capital allowances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Depreciating assets first deducted in this income year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intangible depreciating assets first deducted,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"5,895","4,215","3,930","3,755","3,475","3,430","3,550","4,065","4,135","4,210","4,301","5,291","5,406","5,584","4,881"
Intangible depreciating assets first deducted,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"4,817,447,059","2,690,692,406","2,825,978,743","2,450,339,001","2,759,013,223","5,169,758,487","4,843,417,217","9,825,330,308","12,512,741,450","8,624,661,582","8,474,850,380","17,382,412,579","15,682,476,974","13,927,370,690","15,644,102,940"
Other depreciating assets first deducted,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"138,655","142,400","139,650","133,750","123,430","115,875","111,695","109,965","111,030","102,650","99,740","74,992","75,954","79,530","69,458"
Other depreciating assets first deducted,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"51,430,718,792","51,255,026,326","62,924,258,195","74,128,520,323","67,174,059,540","77,164,694,523","95,976,933,141","87,938,155,265","87,943,271,171","85,548,032,379","103,781,297,602","122,247,623,988","126,559,775,798","136,248,098,349","117,998,099,457"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For all depreciating assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total adjustable values at end of income year,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"72,952","84,937","92,281","85,916"
Total adjustable values at end of income year,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"425,219,961,454","593,922,845,882","633,896,311,886","691,920,355,946"
Assessable balancing adjustments on the disposal of intangible depreciating assets,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,500","1,221","1,144",988
Assessable balancing adjustments on the disposal of intangible depreciating assets,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"4,244,471,073","1,577,716,017","949,296,988","1,008,781,294"
Deductible balancing adjustments on the disposal of intangible depreciating assets,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"2,675","2,146","1,885","1,476"
Deductible balancing adjustments on the disposal of intangible depreciating assets,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"391,787,628","390,135,672","722,283,442","649,334,785"
Termination value of intangible depreciating assets,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"3,090","2,985","2,640","2,755","2,700","2,800","2,640","2,580","2,520","2,475","2,478","1,389","1,371","1,379","1,194"
Termination value of intangible depreciating assets,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,451,341,034","645,465,545","389,477,570","387,578,178","715,524,554","1,339,628,046","1,021,158,116","3,246,415,296","977,433,437","994,424,265","1,377,930,802","6,213,417,872","2,279,991,126","1,157,331,505","515,821,047"
Termination value of other depreciating assets,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"81,500","77,710","68,405","63,045","58,795","55,515","53,185","50,670","50,685","47,985","46,622","32,981","31,081","30,673","26,329"
Termination value of other depreciating assets,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"27,623,358,989","19,864,984,909","18,088,464,847","19,202,367,147","19,898,564,456","29,040,709,612","28,044,645,507","21,801,308,749","28,405,021,868","17,983,553,667","19,222,703,895","15,783,689,242","19,615,466,852","15,307,472,228","15,479,917,696"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For entities connected with mining operations, exploration or prospecting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total mining capital expenditure and/or transport capital that you allocated to a project pool and for which you can claim a deduction this income year,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,135,139,139,111
Total mining capital expenditure and/or transport capital that you allocated to a project pool and for which you can claim a deduction this income year,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"2,924,611,825","5,897,681,570","4,000,919,062","4,322,666,806"
Total deduction for decline in value of intangible depreciating assets used in exploration or prospecting,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,217,196,178,178
Total deduction for decline in value of intangible depreciating assets used in exploration or prospecting,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"6,863,722,913","2,508,272,082","1,345,077,258","844,085,335"
Total deduction for decline in value of other depreciating assets used in exploration or prospecting,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,307,306,264,204
Total deduction for decline in value of other depreciating assets used in exploration or prospecting,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,574,156,714","1,661,815,269","1,518,890,295","883,858,062"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small business entity depreciating assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deduction for low cost assets (less than $1000),no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"18,225","22,095","23,435","25,360","29,565","31,080","34,865","37,890","38,105","36,925","38,341",na,na,na,na
Deduction for low cost assets (less than $1000),$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"111,369,989","55,561,764","62,151,528","63,433,452","74,345,449","78,081,299","91,442,041","95,036,809","99,220,030","100,857,547","106,245,210",na,na,na,na
Deduction for general pool assets (less than 25 years) ,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"34,540","43,195","48,385","53,295","64,215","69,855","81,290","92,550","89,660","89,845","93,325",na,na,na,na
Deduction for general pool assets (less than 25 years) ,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"482,229,824","599,621,018","573,193,333","660,847,047","818,930,587","916,403,392","1,284,717,363","1,513,069,161","1,461,797,365","1,453,434,641","1,466,014,530",na,na,na,na
Deduction for long-life pool assets (25 years or more) ,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"2,300","2,995","3,345","3,845","4,730","5,265","6,760","7,750","7,760","7,825","7,947",na,na,na,na
Deduction for long-life pool assets (25 years or more) ,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"19,650,013","21,643,165","6,763,700","7,965,139","9,102,313","10,325,408","16,224,355","20,256,036","20,043,766","21,962,968","22,202,764",na,na,na,na
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Small business entity simplified depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Deduction for certain assets (costing less than $6,500)",no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"64,069","48,251","56,620","74,464"
"Deduction for certain assets (costing less than $6,500)",$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"428,779,817","256,499,136","408,694,159","907,192,818"
Deduction for general small business pool,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"100,626","98,888","112,662","99,183"
Deduction for general small business pool,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"1,704,368,155","1,569,863,296","1,873,598,013","1,933,023,122"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consolidation deductions relating to rights to future income, consumable stores and work in progress",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre rules deductions,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,12,11,7,7
Pre rules deductions,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"55,260,965","53,409,550","35,164,101","38,803,170"
Interim rules deductions,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,25,24,15,12
Interim rules deductions,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"85,946,233","76,560,280","64,591,743","49,679,487"
Prospective rules deductions,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,24,21,18,17
Prospective rules deductions,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"121,613,161","50,563,956","115,315,483","196,738,996"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National rental affordability scheme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National rental affordability scheme tax offset entitlement,no.,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,60,45,45,63,107,138,169,135
National rental affordability scheme tax offset entitlement,$,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"2,024,129","1,199,341","4,295,713","18,833,995","5,979,435","7,875,978","15,370,112","25,528,026"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Losses information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax losses carried forward to later income years,no.,na,na,na,na,na,na,na,na,na,na,na,na,"1,210","102,810","142,875","150,750","170,420","192,880","205,635","213,580","257,105","289,970","303,405","312,665","322,270","324,970","331,685","335,810","352,155","372,885","375,305","383,911","395,851","408,606","417,817","399,935"
